番号,shopname,category,全店,デジタル,中小,住所１,住所２,電話番号
1,ジュエリーズイホウ,その他の業種,〇,★,●,豊中市北緑丘1-4-10,,06-6854-1005
2,金比羅製麺 北緑丘店,飲食店,〇,★,●,豊中市北緑丘2-8-6,,06-6855-5612
3,島熊山グラーヴ,飲食店,〇,★,●,豊中市緑丘1-25-5,,06-6848-1256
4,りんご整骨院,医療福祉,〇,★,●,豊中市緑丘1-27-6,アメニティ緑丘A,06-6842-2508
5,フラワーアレンジメント教室・花雑貨販売ラグレーヌ,家具・雑貨,〇,★,●,豊中市緑丘1-31-2-201,,090-5334-9939
6,株式会社北村電気 緑丘店,電化製品,〇,★,●,豊中市緑丘1-6-3,,06-6852-4758
7,ウジタオートサロン 豊中店,自動車・自転車,〇,★,●,豊中市緑丘2-3-10,,06-6852-0700
8,黄色いおうちの鍼灸院,医療福祉,〇,★,●,豊中市緑丘3-24-9,,090-3942-4685
9,シャトレーゼ イオンタウン豊中緑丘店,食料品(スーパー含む),〇,★,●,豊中市緑丘4-1,,06-6852-0766
10,メガネの愛眼 イオンタウン豊中緑丘店,小売業 その他,〇,,,豊中市緑丘4-1,イオンタウン豊中緑丘1F,06-6841-0634
11,マックスバリュ 豊中緑丘店,食料品(スーパー含む),〇,,,豊中市緑丘4-1-1,,06-6845-0411
12,大垣書店 豊中緑丘店,小売業 その他,〇,★,●,豊中市緑丘4-1-3,イオンタウン豊中緑丘2F,06-6855-7576
13,Lien hair,理美容,〇,★,●,豊中市緑丘4-35-19,グリーンヒル松本205,06-4865-3370
14,ファミリーマート 豊中緑丘店,コンビニエンスストア,〇,★,●,豊中市緑丘5-9-6,,06-4865-5522
15,Giselle,理美容,〇,★,●,豊中市東豊中町4-3-8,,06-6152-6291
16,欧風料理屋RAISIN,飲食店,〇,★,●,豊中市東豊中町5-29-31,リュートリューベ1F,06-6857-1361
17,やきとり大吉 東豊中六丁目店,飲食店,〇,★,●,豊中市東豊中町6-15-45,,06-6857-1015
18,ヘアスタジオ バナナムーン,理美容,〇,★,●,豊中市東豊中町1-4-7,,06-6853-2203
19,丸源ラーメン 豊中千里店,飲食店,〇,★,●,豊中市東豊中町2-7-1,,06-6854-3939
20,フォトスタジオしまだ,小売業 その他,〇,★,●,豊中市東豊中町4-1-14,,06-6853-4402
21,ハラデン 東豊中店,電化製品,〇,★,●,豊中市東豊中町4-1-18,,06-6858-1338
22,セブン-イレブン 東豊中4丁目店,コンビニエンスストア,〇,★,●,豊中市東豊中町4-1-25,,06-6841-7511
23,コープ 東豊中,食料品(スーパー含む),〇,,,豊中市東豊中町4-3-13,,06-6848-2561
24,SASABE,飲食店,〇,,●,豊中市東豊中町4-3-8,,06-6854-0295
25,おそうじ本舗 東豊中店,サービス業 その他,〇,★,●,豊中市東豊中町4-3-8,,0120-922-793
26,マルヤス 東豊中店,食料品(スーパー含む),〇,,●,豊中市東豊中町4-4-15,,06-4865-5300
27,カーニバルクリーニング 東豊中店,サービス業 その他,〇,,●,豊中市東豊中町4-4-6,,06-6854-1212
28,ペンギンショップ 東豊中店,サービス業 その他,〇,,●,豊中市東豊中町4-6-22,,06-6846-7100
29,ダイチ鍼灸整骨院,医療福祉,〇,★,●,豊中市東豊中町4-7-25,ハイツ最上101,06-6398-9575
30,馬肉と和食のお店 神戸播馬,飲食店,〇,,●,豊中市東豊中町4-7-25,ハイツ最上102,06-6151-3382
31,hair&nail&eye cherie シェリ,理美容,〇,★,●,豊中市東豊中町4-7-8-1,,06-6152-5855
32,メガネの愛眼 東豊中店,小売業 その他,〇,,,豊中市東豊中町5-1-12,,06-6841-7130
33,しらすや Shirasu,食料品(スーパー含む),〇,★,●,豊中市東豊中町5-1-15,,06-6842-7455
34,とんがらし,飲食店,〇,★,●,豊中市東豊中町5-12-1,西谷ハイツ1F,06-6846-0740
35,ヘアークリニック 髪切床,理美容,〇,★,●,豊中市東豊中町5-2-132-101,,06-6848-3855
36,NPO法人バリアフリーカー・コンサルタント,小売業 その他,〇,★,●,豊中市東豊中町5-2-133-103,,06-6857-6700
37,フタバ呉服,衣料品,〇,★,●,豊中市東豊中町5-27-30,,06-6855-3790
38,POLA 東豊中ショップ,小売業 その他,〇,★,●,豊中市東豊中町5-29-31,,06-6858-0072
39,クリーニングホワイトベル 東豊中店,サービス業 その他,〇,★,●,豊中市東豊中町5-29-31,,06-6858-0072
40,Cui LARDOISE,飲食店,〇,★,●,豊中市東豊中町5-30-25-103,,06-6848-2123
41,麺家 五大力,飲食店,〇,★,●,豊中市東豊中町5-30-25-105,,06-6857-5559
42,TRIO STYLE,小売業 その他,〇,★,●,豊中市東豊中町5-30-28,B-103 (B1F),06-4867-4169
43,女性専用スポーツジム A stage,サービス業 その他,〇,★,●,豊中市東豊中町5-30-28,crice Nikko東豊中301,06-6210-6656
44,ダイワサイクル 東豊中店,自動車・自転車,〇,★,●,豊中市東豊中町5-31-1,,06-6840-3888
45,スギ薬局 東豊中店,ドラッグストア,〇,,,豊中市東豊中町5-31-5,,06-4865-5591
46,ローソン 東豊中五丁目店,コンビニエンスストア,〇,★,●,豊中市東豊中町5-31-8,,06-6858-1494
47,CEサロンColor,理美容,〇,★,●,豊中市東豊中町5-35-12,アヴィタシヨン東豊中503,06-6845-1238
48,かつアンドかつ 二ノ切公園店,飲食店,〇,,,豊中市東豊中町5-36-20,,06-6840-7720
49,Makers+ cafe,飲食店,〇,★,●,豊中市東豊中町5-39-8,フォトラボビルA棟1F,06-6836-9100
50,クラインゲベック,食料品(スーパー含む),〇,★,●,豊中市東豊中町5-4-21,,06-6848-1070
51,盛飯店,飲食店,〇,★,●,豊中市東豊中町5-4-21,ブリックハイツ102,06-6849-9670
52,株式会社樽井造園,その他の業種,〇,★,●,豊中市東豊中町5-4-5,,06-6856-1881
53,Nick&Renee,飲食店,〇,,●,豊中市東豊中町6-1-11-101,,06-6857-0085
54,東豊中動物病院,その他の業種,〇,★,●,豊中市東豊中町6-1-2,,06-4867-3555
55,東豊中一色米穀店,食料品(スーパー含む),〇,,●,豊中市東豊中町6-12,シャレール東豊中20棟4号,06-6852-1428
56,豊中青藍塾,サービス業 その他,〇,★,●,豊中市東豊中町6-1-2,豊中大成ビル2F,06-6842-2236
57,健康雑貨 チェリル,小売業 その他,〇,★,●,豊中市東豊中町6-1-22-1,,06-4866-5767
58,赤尾歯科医院,医療福祉,〇,★,●,豊中市東豊中町6-1-22-2,,06-6858-5051
59,タイヤガーデン豊中,小売業 その他,〇,★,●,豊中市東豊中町6-1-5,,06-6857-8700
60,くるみ整骨院,医療福祉,〇,★,●,豊中市東豊中町6-15-15,,06-6151-2963
61,Hair's Cozy ヘアーズ コーズィー,理美容,〇,★,●,豊中市東豊中町6-15-36,メゾン東豊中103,06-7171-4434
62,パティスリーリスボン 豊中店,飲食店,〇,★,●,豊中市東豊中町6-15-45-107,,06-6853-5610
63,ボン マリアージュ,食料品(スーパー含む),〇,★,●,豊中市東豊中町6-16-15,ボンマリア-ジュ1F,06-6853-8210
64,お好み焼・鉄板焼 きん太 東豊中店,飲食店,〇,,●,豊中市東豊中町6-16-8,,06-6854-5551
65,ジョリーオオタニ美容室,理美容,〇,,●,豊中市東豊中町6-17-60-103,,06-6849-5028
66,すこやかキッチン合同会社,サービス業 その他,〇,★,●,豊中市東豊中町6-20-18,,06-4865-5501
67,キリン堂 東豊中店,ドラッグストア,〇,,,豊中市東豊中町6-3-25,,06-6848-5788
68,キリン堂薬局 東豊中店調剤,医療福祉,〇,,,豊中市東豊中町6-3-25,,06-6849-2677
69,Feliz,理美容,〇,★,●,豊中市少路1-10-25,5F,06-6850-0137
70,陽なた鍼灸整骨院,医療福祉,〇,,●,豊中市少路1-10-25,少路駅前ビル4F,06-6857-7377
71,ブーランジェリーカラン 少路店,食料品(スーパー含む),〇,★,●,豊中市少路1-11-20,少路パークレジデンス1F,06-6855-6569
72,やまや 豊中少路店,食料品(スーパー含む),〇,★,●,豊中市少路1-13-25,,06-6841-9900
73,かごの屋 豊中少路店,飲食店,〇,,●,豊中市少路1-1-38,,06-6840-8511
74,ユニカムドラッグ 少路店,ドラッグストア,〇,★,●,豊中市少路1-14-1,,06-6843-8571
75,医療法人たかはし耳鼻咽喉科クリニック,医療福祉,〇,★,●,豊中市少路1-14-1,笹源ビル203,06-6841-3311
76,かに道楽 豊中店,飲食店,〇,★,●,豊中市少路1-1-5,,0120-357-808
77,美容室めぞん・ど・ぼーて 少路店,理美容,〇,★,●,豊中市少路1-15-2,,0120-02-5884
78,サンドラッグ 豊中少路店,ドラッグストア,〇,,,豊中市少路1-2-10,,06-6482-3061
79,フェリーチェ,衣料品,〇,★,●,豊中市少路1-2-7,リッツサントノーレ101,06-6846-7511
80,ウェブコンビニエンス,その他の業種,〇,★,●,豊中市少路2-1-1,千里緑丘ハウス909,06-6849-7476
81,カーニバルクリーニング 西緑丘店,サービス業 その他,〇,,●,豊中市少路2-1-6,,06-6848-2121
82,016,理美容,〇,★,●,豊中市少路2-1-6,アビタシオン西緑丘1F,06-6151-2600
83,学遊少路教室,その他の業種,〇,★,●,豊中市少路2-3-31,ウエストアップ少路203,06-7501-1432
84,阪急オアシス 豊中少路店,食料品(スーパー含む),〇,,,豊中市少路2-4-8,,06-6844-5172
85,キリン堂 豊中少路店,ドラッグストア,〇,,,豊中市少路2-5-1,,06-6844-5262
86,キリン堂薬局 豊中少路店調剤,医療福祉,〇,,,豊中市少路2-5-1,,06-4865-9880
87,フラワーギフト SOSH,小売業 その他,〇,★,●,豊中市少路2-7-5,,06-6858-5213
88,ステーキハウス神楽 豊中店,飲食店,〇,★,●,豊中市少路2-8-13,,06-6850-2983
89,VonLuxe,理美容,〇,★,●,豊中市少路2-9-20,2F,06-6210-6222
90,サイクルベースあさひ 豊中緑丘店,自動車・自転車,〇,,,豊中市西緑丘1-1-35,,06-4865-5635
91,コープミニ 西緑丘,食料品(スーパー含む),〇,,,豊中市西緑丘1-1-38,,06-6858-0855
92,kyasa,理美容,〇,★,●,豊中市西緑丘1-7-10,千ビル1F,06-6855-2197
93,レオニダス 豊中店,食料品(スーパー含む),〇,★,●,豊中市西緑丘2-6-28,,06-6845-7733
94,superNOVAhair-design,理美容,〇,,●,豊中市西緑丘2-7-10,緑丘グローリーハイツ1F,06-6852-1333
95,スギ薬局 西緑丘店,ドラッグストア,〇,,,豊中市西緑丘2-8-5,,06-6152-7577
96,はるやま商事株式会社 豊中緑丘店,衣料品,〇,,,豊中市西緑丘3-1-10,,06-6845-8755
97,産直焼肉ビーファーズ 豊中緑丘店,飲食店,〇,,,豊中市西緑丘3-11-1,,06-6846-2929
98,ファッションセンターしまむら 西緑丘店,衣料品,〇,,,豊中市西緑丘3-12-3,,06-4865-6505
99,自家焙煎珈琲店 Basic珈琲,飲食店,〇,★,●,豊中市西緑丘3-13-1,シンミ西緑丘ビル1F,06-4867-3437
100,Dining IKINA,飲食店,〇,★,●,豊中市西緑丘3-13-1,シンミ西緑丘ビルB1F,06-6845-1213
101,和菓子処 喜楽,小売業 その他,〇,★,●,豊中市西緑丘3-13-12,,06-6335-4313
102,gite,飲食店,〇,★,●,豊中市西緑丘3-13-3,ヴェルデ緑丘101,06-6858-1310
103,1.SPOT.HAIR CLUB,理美容,〇,★,●,豊中市西緑丘3-14-11-102,,06-6846-5303
104,TOMI治療院,理美容,〇,★,●,豊中市西緑丘3-14-11-103,,06-6599-9251
105,ひいらぎ薬局,ドラッグストア,〇,★,●,豊中市西緑丘3-14-6,,06-4866-6750
106,大阪北部ヤクルト販売株式会社 緑丘エステサロン,小売業 その他,〇,★,●,豊中市西緑丘3-1-8,,06-6857-8961
107,大阪北部ヤクルト販売株式会社 緑丘店,小売業 その他,〇,★,●,豊中市西緑丘3-1-8,,06-6857-8960
108,ペンギンショップ 西緑丘店,サービス業 その他,〇,,●,豊中市西緑丘3-26-20,,06-6858-7830
109,Bakery&Cafe Dining RACCOLTA,飲食店,〇,★,●,豊中市西緑丘3-26-23,,06-6840-7772
110,ローソン 豊中西緑丘3丁目店,コンビニエンスストア,〇,★,●,豊中市西緑丘3-26-34,,06-6853-0077
111,c'est SYMPA,サービス業 その他,〇,★,●,豊中市上野西1-10-8-1,,06-6151-5883
112,豊中サイクルストアー,自動車・自転車,〇,★,●,豊中市上野西1-12-15,,06-6852-1387
113,Hair&Relax Horiuchi,理美容,〇,★,●,豊中市上野西1-12-16,,06-6854-5787
114,hair salon H,理美容,〇,★,●,豊中市上野西1-12-29,ヴィンテージビル202,090-8162-1532
115,家族割烹 やすまさ,飲食店,〇,★,●,豊中市上野西1-1-25,フロントリバー豊中105,06-6841-3835
116,FREE STYLE,理美容,〇,★,●,豊中市上野西1-1-30,上野パークハイム104,06-6856-3856
117,(有)岡村水道ポンプ工業所,サービス業 その他,〇,★,●,豊中市上野西1-13-1,,06-6849-4173
118,LalaPapa(ララパパ),理美容,〇,★,●,豊中市上野西1-13-15,島村ビル1F,06-7163-3280
119,かんだ化粧品店,小売業 その他,〇,★,●,豊中市上野西1-6-11,,06-6848-0172
120,ホワイト急便かんだ,その他の業種,〇,★,●,豊中市上野西1-6-11,,06-6848-0172
